,Unnamed: 0,ID,State,Operating_System,CPU_Manufacturer,CPU_Year,Satisfaction,OEM of GPU,What Year was your GPU released?,User's GPU Rating,User's Computer Rating
0,0,1,Tennessee,Linux,Intel,2011,Yes,AMD,2013,3,7
1,1,2,California,Classic Windows (Vista/XP/2000/ME/98),Other,2003,Yes,Other,2019,5,10
2,2,3,Delaware,MacOS,AMD,2019,No,Other,2001,2,1
3,3,4,Connecticut,Linux,Intel,2004,Yes,Intel (Integrated),2005,2,10
4,4,5,Alaska,Windows (10/8/7),Intel,2015,Yes,Nvidea,2014,5,7
5,5,6,Arkansas,Windows (10/8/7),Intel,2017,Yes,Intel (Integrated),2017,2,7
6,6,7,Texas,Windows (10/8/7),AMD,2012,Yes,Nvidea,2016,4,8
7,7,8,Texas,MacOS,Intel,2015,Yes,Intel (Integrated),2015,3,6
8,8,9,Tennessee,Windows (10/8/7),AMD,2014,No,Other,1000,1,7
9,9,10,Arizona,Windows (10/8/7),Intel,2018,Yes,Nvidia,2017,4,8
10,10,11,New Mexico,Windows (10/8/7),AMD,2018,Yes,AMD,2018,3,7
11,11,12,California,MacOS,Other,2016,Yes,Other,2016,3,6
12,12,13,Missouri,Windows (10/8/7),Intel,2018,Yes,Nvidia,2018,5,8
13,13,14,Arkansas,Windows (10/8/7),Intel,2017,No,Nvidia,2016,4,7
14,14,15,Massachusetts,Linux,Intel,2015,Yes,Nvidia,2014,5,8
15,15,16,Tennessee,Windows (10/8/7),Intel,2017,Yes,Nvidia,2016,3,5
16,16,17,Illinois,Windows (10/8/7),Intel,2018,Yes,Intel (Integrated),2016,5,9
17,17,18,Texas,Linux,Intel,2018,Yes,Nvidia,2018,4,10
18,18,19,Iowa,Windows (10/8/7),AMD,2012,Yes,AMD,2012,4,9
19,19,20,Pennsylvania,MacOS,Intel,2015,Yes,Other,2015,3,4
20,20,21,Georgia,Windows (10/8/7),Intel,2018,Yes,Intel (Integrated),2018,4,9
21,21,22,Virginia,Windows (10/8/7),Intel,2016,Yes,Nvidia,2016,4,8
22,22,23,Florida,MacOS,Intel,2009,No,Intel (Integrated),2013,3,6
23,23,24,California,MacOS,Intel,2014,Yes,AMD (Integrated),2014,5,9
24,24,25,North Carolina,Linux,Intel,2015,Yes,Nvidia,2016,4,7
25,25,26,Hawaii,Windows (10/8/7),Intel,2018,Yes,Nvidia,2017,4,9
26,26,27,Illinois,Classic Windows (Vista/XP/2000/ME/98),Intel,2006,Yes,AMD,2007,5,7
27,27,28,Colorado,Linux,AMD,2011,Yes,AMD,2017,3,6
28,28,29,Kansas,Classic Windows (Vista/XP/2000/ME/98),AMD,2016,Yes,AMD,2017,5,8
29,29,30,Tennessee,Windows (10/8/7),AMD,2016,Yes,Nvidia,2017,4,7
30,30,31,Rhode Island,Windows (10/8/7),Intel,2017,Yes,Nvidia,2018,3,6
31,31,32,South Carolina,Windows (10/8/7),AMD,2019,Yes,AMD,2018,5,10
